prefix,next_char,count,prob
^^s,k,2,7.267441860465116e-4
^^s,l,9,0.0032703488372093025
^^s,m,7,0.002543604651162791
^^s,n,4,0.0014534883720930232
^^s,o,316,0.11482558139534883
^^s,p,180,0.06540697674418605
^^s,q,15,0.005450581395348837
^^s,r,2,7.267441860465116e-4
^^s,t,312,0.11337209302325581
^^s,u,91,0.03306686046511628
^^s,v,7,0.002543604651162791
^^s,y,4,0.0014534883720930232
^^t,a,272,0.18121252498334445
^^t,e,262,0.17455029980013326
^^t,h,12,0.007994670219853431
^^t,i,112,0.07461692205196535
^^t,m,1,6.662225183211193e-4
^^t,o,353,0.2351765489673551
^^t,r,385,0.2564956695536309
^^t,s,6,0.003997335109926716
^^t,u,96,0.06395736175882745
^^t,w,1,6.662225183211193e-4
^^t,z,1,6.662225183211193e-4
^^u,b,5,0.040983606557377046
^^u,c,10,0.08196721311475409
^^u,d,1,0.00819672131147541
^^u,f,2,0.01639344262295082
^^u,g,7,0.05737704918032787
^^u,l,10,0.08196721311475409
^^u,m,10,0.08196721311475409
^^u,n,13,0.10655737704918032
^^u,o,2,0.01639344262295082
^^u,p,5,0.040983606557377046
^^u,r,21,0.1721311475409836
^^u,s,26,0.21311475409836064
^^u,t,5,0.040983606557377046
^^u,v,1,0.00819672131147541
^^u,z,4,0.03278688524590164
^^v,a,665,0.3898007033997655
^^v,e,379,0.22215709261430247
^^v,h,1,5.861664712778429e-4
^^v,i,545,0.3194607268464244
^^v,o,99,0.05803048065650645
^^v,r,6,0.0035169988276670576
^^v,u,10,0.005861664712778429
^^v,y,1,5.861664712778429e-4
^^w,a,13,0.2549019607843137
^^w,e,11,0.21568627450980393
^^w,h,1,0.0196078431372549
^^w,i,16,0.3137254901960784
^^w,o,8,0.1568627450980392
^^w,u,2,0.0392156862745098
^^x,a,1,0.25
^^x,i,2,0.5
^^x,o,1,0.25
^^y,a,1,0.5
^^y,s,1,0.5
^^z,a,111,0.3274336283185841
^^z,e,65,0.19174041297935104
^^z,i,51,0.1504424778761062
^^z,o,56,0.16519174041297935
^^z,u,52,0.15339233038348082
^^z,w,4,0.011799410029498525
^aa,a,1,0.5
^aa,r,1,0.5
^ab,a,7,0.1794871794871795
^ab,b,14,0.358974358974359
^ab,e,8,0.20512820512820512
^ab,i,1,0.02564102564102564
^ab,l,1,0.02564102564102564
^ab,n,1,0.02564102564102564
^ab,r,5,0.1282051282051282
^ab,s,2,0.05128205128205128
^ac,a,6,0.04580152671755725
^ac,c,21,0.16030534351145037
^ac,e,9,0.06870229007633588
^ac,h,3,0.022900763358778626
^ac,i,4,0.030534351145038167
^ac,o,1,0.007633587786259542
^ac,q,83,0.6335877862595419
^ac,r,3,0.022900763358778626
^ac,u,1,0.007633587786259542
^ad,a,2,0.0625
^ad,d,4,0.125
^ad,e,6,0.1875
^ad,i,3,0.09375
^ad,l,2,0.0625
^ad,m,2,0.0625
^ad,r,11,0.34375
^ad,u,1,0.03125
^ad,v,1,0.03125
^ae,l,1,0.16666666666666666
^ae,m,1,0.16666666666666666
^ae,r,4,0.6666666666666666
^af,f,5,0.7142857142857143
^af,r,2,0.2857142857142857
^ag,a,8,0.08602150537634409
^ag,e,4,0.043010752688172046
^ag,g,2,0.021505376344086023
^ag,h,1,0.010752688172043012
^ag,i,1,0.010752688172043012
^ag,l,11,0.11827956989247312
^ag,n,19,0.20430107526881722
^ag,o,14,0.15053763440860216
^ag,r,22,0.23655913978494625
^ag,u,11,0.11827956989247312
^ai,a,5,0.12195121951219512
^ai,c,2,0.04878048780487805
^ai,d,2,0.04878048780487805
^ai,e,4,0.0975609756097561
^ai,g,4,0.0975609756097561
^ai,l,3,0.07317073170731707
^ai,m,2,0.04878048780487805
^ai,n,1,0.024390243902439025
^ai,o,2,0.04878048780487805
^ai,p,1,0.024390243902439025
^ai,r,11,0.2682926829268293
^ai,s,3,0.07317073170731707
^ai,z,1,0.024390243902439025
^ak,t,1,1
^al,a,12,0.03715170278637771
^al,b,109,0.33746130030959753
^al,c,8,0.02476780185758514
^al,d,9,0.02786377708978328
^al,e,20,0.06191950464396285
^al,f,15,0.04643962848297214
^al,g,4,0.01238390092879257
^al,i,18,0.05572755417956656
^al,l,33,0.1021671826625387
^al,m,9,0.02786377708978328
^al,o,5,0.015479876160990712
^al,p,21,0.06501547987616099
^al,s,4,0.01238390092879257
^al,t,39,0.12074303405572756
^al,u,1,0.0030959752321981426
^al,v,13,0.04024767801857585
^al,z,3,0.009287925696594427
^am,a,20,0.28169014084507044
^am,b,16,0.22535211267605634
^am,e,9,0.1267605633802817
^am,i,6,0.08450704225352113
^am,j,1,0.014084507042253521
^am,m,3,0.04225352112676056
^am,o,6,0.08450704225352113
^am,p,10,0.14084507042253522
^an,a,8,0.047619047619047616
^an,c,12,0.07142857142857142
^an,d,29,0.17261904761904762
^an,e,6,0.03571428571428571
^an,f,3,0.017857142857142856
^an,g,24,0.14285714285714285
^an,i,2,0.011904761904761904
^an,k,1,0.005952380952380952
^an,n,11,0.06547619047619048
^an,o,1,0.005952380952380952
^an,q,1,0.005952380952380952
^an,s,6,0.03571428571428571
^an,t,51,0.30357142857142855
^an,v,1,0.005952380952380952
^an,x,1,0.005952380952380952
^an,z,11,0.06547619047619048
^ao,r,1,0.5
^ao,s,1,0.5
^ap,a,4,0.10810810810810811
^ap,e,3,0.08108108108108109
^ap,i,3,0.08108108108108109
^ap,l,1,0.02702702702702703
^ap,o,7,0.1891891891891892
^ap,p,8,0.21621621621621623
^ap,r,9,0.24324324324324326
^ap,s,2,0.05405405405405406
^aq,u,29,1
^ar,a,21,0.06231454005934718
^ar,b,17,0.050445103857566766
^ar,c,40,0.11869436201780416
^ar,d,21,0.06231454005934718
^ar,e,23,0.06824925816023739
^ar,f,1,0.002967359050445104
^ar,g,24,0.0712166172106825
^ar,i,37,0.10979228486646884
^ar,l,13,0.03857566765578635
^ar,m,21,0.06231454005934718
^ar,n,15,0.04451038575667656
^ar,o,9,0.026706231454005934
